strike,last_price
50,136.89
55,121
60,122.65
65,118.46
70,114.1
75,109.54
80,98.74
85,98.74
90,93.98
95,89.03
100,87.25
105,69.65
110,74.7
115,69.78
120,65.14
125,62.34
130,58.36
135,52.35
140,48.74
145,43.63
150,38.2
155,34.89
160,29.43
165,25.55
170,21.37
175,17.4
180,14.01
185,10.81
190,8.1
195,5.68
200,3.9
205,2.61
210,1.63
215,1.02
220,0.64
225,0.42
230,0.29
235,0.19
240,0.14
245,0.11
250,0.08
255,0.08
260,0.06
265,0.07
270,0.04
275,0.03
280,0.02
285,0.03
290,0.03
300,0.02
310,0.02
