strike,bid,ask,last price
100,342.8,343.37,340.26
110,332.81,333.38,0
120,322.82,323.37,0
130,312.83,313.39,0
140,302.84,303.4,300.3
150,292.85,293.41,303
160,282.86,283.42,0
170,272.87,273.43,277.7
180,262.88,263.44,0
190,252.89,253.45,0
200,242.91,243.46,238.79
210,232.92,233.46,228.78
215,227.93,228.48,0
220,222.94,223.47,220
225,217.95,218.48,219.21
230,212.96,213.5,0
235,207.97,208.51,0
240,202.97,203.52,198.78
245,197.99,198.52,0
250,193,193.54,205.26
255,188.01,188.54,0
260,183.02,183.55,0
265,178.04,178.58,192.69
270,173.05,173.58,180.32
275,168.07,168.61,169.26
280,163.09,163.61,176.47
285,158.11,158.64,176.5
290,153.12,153.66,143.76
295,148.14,148.68,0
300,143.17,143.68,143.58
305,138.19,138.72,138.74
310,133.22,133.75,133.95
315,128.25,128.76,124.75
320,123.28,123.81,120.04
325,118.31,118.84,114.33
330,113.35,113.87,106.71
335,108.38,108.91,120.5
340,103.43,103.93,99.47
345,98.47,98.99,0
350,93.53,94.03,91.13
355,88.58,89.09,93.73
360,83.66,84.16,82.77
365,78.74,79.25,87.63
370,73.85,74.36,68.45
375,68.97,69.48,75.39
376,68,68.47,74.42
377,67.02,67.5,65.62
378,66.06,66.53,71
380,64.12,64.63,63.2
381,63.15,63.62,70.54
382,62.19,62.66,62.16
383,61.23,61.7,63.97
384,60.27,60.73,54.41
385,59.31,59.81,61.17
386,58.35,58.81,60.25
387,57.39,57.86,0
388,56.43,56.9,47.6
389,55.48,55.95,65.21
390,54.53,55.03,55.3
391,53.58,54.05,63.98
392,52.63,53.1,41.65
393,51.69,52.16,50.95
394,50.75,51.22,50.95
395,49.81,50.29,49.56
396,48.87,49.34,48.17
397,47.94,48.4,46.85
398,47.01,47.47,46.73
399,46.08,46.54,47.52
400,45.16,45.63,45.53
401,44.23,44.7,60.37
402,43.32,43.78,44.71
403,42.4,42.86,54.53
404,41.49,41.95,50.46
405,40.58,41.06,39.34
406,39.68,40.14,35.81
407,38.78,39.24,39.37
408,37.89,38.34,53.77
409,36.99,37.45,37.6
410,36.1,36.57,36.35
411,35.22,35.68,35.91
412,34.34,34.8,31.65
413,33.47,33.92,29.74
414,32.6,33.06,30.4
415,31.74,32.21,31.6
416,30.89,31.33,40.08
417,30.03,30.48,29.97
418,29.19,29.63,26.5
419,28.35,28.79,26.06
420,27.52,27.97,27.88
421,26.68,27.12,27
422,25.86,26.3,23.69
423,25.05,25.48,25.5
424,24.23,24.67,24.56
425,23.43,23.88,23.8
426,22.7,23.01,23.47
427,21.88,22.21,21.94
428,21.13,21.44,21.92
429,20.36,20.66,19.06
430,19.56,19.92,19.84
431,18.82,19.07,18.75
432,18.09,18.38,18.03
433,17.34,17.64,17.99
434,16.61,16.9,16.88
435,15.84,16.18,16.15
436,15.2,15.46,14.77
437,14.46,14.75,14.85
438,13.81,14.06,14.38
439,13.17,13.3,13.33
440,12.5,12.62,12.54
441,11.89,11.93,11.97
442,11.24,11.28,11.2
443,10.61,10.64,10.59
444,9.98,10.02,10.01
445,9.38,9.41,9.39
446,8.78,8.82,8.92
447,8.21,8.24,8.19
448,7.65,7.68,7.69
449,7.11,7.14,7.22
450,6.59,6.61,6.58
451,6.08,6.11,6.1
452,5.6,5.63,5.58
453,5.15,5.17,5.15
454,4.71,4.74,4.68
455,4.3,4.33,4.3
456,3.91,3.94,3.93
457,3.55,3.57,3.51
458,3.21,3.23,3.21
459,2.9,2.92,2.97
460,2.6,2.62,2.62
461,2.34,2.35,2.32
462,2.09,2.11,2.08
463,1.87,1.88,1.89
464,1.66,1.68,1.64
465,1.48,1.49,1.47
466,1.31,1.32,1.32
467,1.16,1.17,1.16
468,1.03,1.04,1.05
469,0.91,0.92,0.9
470,0.8,0.81,0.81
471,0.71,0.72,0.72
472,0.63,0.64,0.63
473,0.55,0.56,0.58
