strike,bid,ask,last_price
5,114.15,115,113.85
25,94.9,95.8,122.05
30,89.4,91.85,117.3
35,85.05,85.75,112.2
50,70.4,70.85,69.1
55,65.55,66.3,67.45
60,61,61.7,58.2
65,55.95,56.5,56.75
70,51.15,51.45,49.34
75,46.25,46.8,46.55
80,41.7,42.5,41
85,37.85,38.5,36.74
90,33.4,33.6,32.85
95,29.4,29.55,28.74
100,25.9,26,26
105,22.2,22.35,22.45
110,19.05,19.2,19.2
115,16.1,16.3,16.61
120,14.1,14.2,14.01
125,11.85,12,12
130,9.9,10,9.9
135,8.1,8.25,8.11
140,6.8,6.9,6.95
145,5.7,5.8,5.75
150,4.7,4.8,4.6
155,3.8,3.9,3.9
160,3.2,3.3,3.2
165,2.67,2.74,2.6
170,2.19,2.23,2.2
175,1.82,1.85,1.85
180,1.58,1.62,1.55
185,1.32,1.35,1.31
190,1.12,1.15,1.13
195,0.98,1.01,1
200,0.84,0.87,0.85
210,0.63,0.64,0.65
220,0.48,0.49,0.48
230,0.36,0.4,0.39
240,0.29,0.3,0.31
250,0.23,0.24,0.24
260,0.19,0.2,0.19
270,0.15,0.17,0.16
280,0.12,0.15,0.14
290,0.11,0.12,0.11
300,0.09,0.1,0.09
