strike,bid,ask
275,120.74,121.46
280,115.75,116.48
290,105.76,106.5
300,95.79,96.52
315,80.82,81.56
320,75.84,76.57
330,65.87,66.61
335,60.9,61.61
340,55.92,56.65
342,53.93,54.66
344,51.94,52.67
345,50.95,51.68
348,47.97,48.69
349,46.98,47.7
350,45.99,46.7
351,45,45.71
352,44.01,44.73
354,42.03,42.75
355,41.04,41.76
357,39.06,39.78
358,38.08,38.79
359,37.09,37.81
360,36.11,36.83
361,35.13,35.84
362,34.14,34.87
364,32.19,32.91
365,31.23,31.94
366,30.26,30.97
367,29.29,30
368,28.33,29.04
369,27.38,28.08
370,26.43,27.13
371,25.48,26.18
372,24.55,25.24
373,23.62,24.3
374,22.69,23.37
375,21.78,22.45
376,20.88,21.54
377,19.98,20.63
377.5,19.54,20.19
378,19.1,19.74
379,18.23,18.86
380,17.37,17.98
381,16.52,17.13
382,15.68,16.28
382.5,15.28,15.87
383,15.06,15.43
384,14.23,14.61
385,13.44,13.81
386,12.68,13.02
387,11.92,12.25
387.5,11.39,11.88
388,11.02,11.5
389,10.42,10.76
390,9.73,10.06
391,9.14,9.2
392,8.48,8.54
392.5,8.16,8.21
393,7.85,7.9
394,7.25,7.29
395,6.66,6.7
396,6.11,6.14
397,5.57,5.6
397.5,5.31,5.34
398,5.06,5.09
399,4.58,4.61
400,4.12,4.16
401,3.7,3.73
402,3.3,3.33
403,2.93,2.96
404,2.59,2.62
405,2.28,2.3
406,1.99,2.01
407,1.73,1.75
408,1.49,1.51
409,1.28,1.3
410,1.09,1.11
411,0.92,0.94
412,0.78,0.8
413,0.65,0.67
414,0.55,0.56
415,0.46,0.47
416,0.38,0.39
417,0.32,0.33
418,0.26,0.27
419,0.22,0.23
420,0.18,0.19
422,0.13,0.14
424,0.09,0.1
425,0.07,0.08
426,0.06,0.07
428,0.04,0.05
430,0.03,0.04
432,0.02,0.03
434,0.02,0.03
435,0.01,0.02
436,0.01,0.02
438,0.01,0.02
440,0.01,0.02
445,0.01,0.02
450,0,0.01
455,0,0.01
460,0,0.01
465,0,0.01
470,0,0.01
475,0,0.01
480,0,0.01
485,0,0.01
490,0,0.01
495,0,0.01
500,0,0.01
