strike,last_price,bid,ask
360,251.4,245.05,245.61
365,243.08,233.09,236.34
370,195.32,207.68,210.28
375,217.77,218.74,222.24
380,203.02,225.2,226.78
385,226.83,220.11,220.68
390,181.03,187.39,189.57
395,214.37,189.06,190.01
400,209.49,205.31,205.85
405,185.65,193.36,196.62
410,191.51,195.2,195.79
415,184.9,193.74,194.58
420,189.96,185.39,186.99
425,178,182.83,186.42
430,169.02,175.37,175.9
435,173.93,170.47,170.99
440,159.81,165.49,166.01
445,158.09,160.53,161.05
450,151.6,155.51,156.05
455,153.7,150.65,151.16
460,136.75,145.57,146.08
465,147.65,140.69,142.29
470,133.83,135.68,136.17
475,135.43,130.72,131.22
480,119.23,125.83,126.34
485,116.43,120.81,121.32
490,111.21,115.87,116.37
495,110.69,110.96,112.55
500,105.81,105.96,106.11
504,82.77,102,102.15
505,88.78,100.99,101.12
506,91.26,100.14,100.27
507,103.23,99.11,99.26
508,89.82,91.31,94.56
509,85.5,97.05,97.18
510,89.41,96.14,96.29
511,80.68,98.69,98.83
512,88.77,94.15,94.28
513,70.52,93.13,93.26
514,84.62,95.74,95.87
515,85.16,91.24,91.38
516,93.23,90.21,90.35
517,96.28,68.7,68.86
518,83.24,88.22,88.36
519,81.66,87.24,87.38
520,81.77,86.18,86.31
521,76.08,78.54,81.79
522,75.79,84.32,84.47
523,71.52,83.21,83.35
524,79.47,82.22,82.36
525,72.08,81.4,81.53
526,76.3,80.27,80.4
527,78.77,79.28,79.43
528,65.82,78.3,78.43
529,81.39,77.32,77.45
530,71.18,76.36,76.51
531,73.66,75.35,75.48
532,81.27,64.31,64.47
533,71.93,66.83,70.09
534,76.57,72.44,72.57
535,76.13,71.41,71.54
536,48.5,70.53,70.66
537,72.79,69.53,69.66
538,66.17,68.64,68.77
539,70.04,67.58,67.73
540,61.3,66.6,66.73
541,72.79,55.71,55.85
542,57.7,64.64,64.77
543,57.46,63.68,63.81
544,57.04,62.69,62.82
545,60.99,61.73,61.87
546,45.84,60.9,61.04
547,50.17,59.83,59.96
548,53.34,58.82,58.94
549,54.29,57.83,57.97
550,55.15,56.93,57.06
551,51.69,55.94,56.07
552,49.83,54.97,55.1
553,48.31,54.02,54.16
554,58.88,53.03,53.17
555,52.15,52.04,52.18
556,49.09,51.14,51.26
557,44.19,50.18,50.31
558,53.26,49.26,49.38
559,51.44,48.31,48.43
560,44.25,47.37,47.49
561,50.5,46.39,46.51
562,40.86,45.41,45.54
563,40.56,44.43,44.54
564,38.62,43.57,43.68
565,46.47,42.6,42.71
566,36.38,41.67,41.79
567,34.97,40.72,40.85
568,35.96,39.85,39.96
569,44.97,38.87,38.99
570,37.08,37.95,38.05
571,36.71,37.09,37.2
572,31.98,36.1,36.22
573,40.7,35.27,35.39
574,31.65,34.3,34.41
575,28.04,33.4,33.52
576,28.29,32.46,32.56
577,27.64,31.63,31.74
578,30.88,30.72,30.82
579,24.56,29.9,30
580,28.3,28.97,29.07
581,23.8,28.14,28.25
582,22,27.22,27.31
583,25.75,26.38,26.47
584,23.29,25.5,25.58
585,24.18,24.65,24.73
586,23.03,23.88,23.96
587,19.86,23.06,23.14
588,18.63,22.11,22.19
589,21.6,21.35,21.43
590,20.68,20.56,20.63
591,18.36,19.74,19.81
592,17.75,18.98,19.05
593,17.25,18.21,18.27
594,17.45,17.44,17.5
595,16.79,16.66,16.72
596,16.09,15.96,16.01
597,15.21,15.21,15.26
598,14.52,14.39,14.44
599,13.82,13.74,13.78
600,13.05,13,13.04
601,12.49,12.36,12.39
602,11.77,11.69,11.73
603,11.1,11.06,11.1
604,10.49,10.39,10.42
605,9.76,9.76,9.79
606,9.16,9.13,9.17
607,8.55,8.63,8.66
608,8.05,8.08,8.11
609,7.35,7.5,7.53
610,6.93,6.98,7.01
611,6.57,6.47,6.5
612,5.7,5.99,6.02
613,5.6,5.56,5.58
614,5.14,5.1,5.12
615,4.79,4.75,4.77
616,4.41,4.32,4.35
617,4.04,3.95,3.98
618,3.63,3.61,3.63
619,3.36,3.28,3.3
620,2.97,3.01,3.03
621,2.58,2.72,2.74
622,2.49,2.47,2.49
623,2.2,2.23,2.25
624,2.05,2.02,2.04
625,1.8,1.81,1.83
626,1.5,1.63,1.65
627,1.5,1.47,1.49
628,1.15,1.31,1.32
629,1,1.16,1.18
630,1.05,1.04,1.06
631,0.83,0.93,0.95
632,0.72,0.83,0.85
633,0.76,0.74,0.75
634,0.65,0.65,0.68
635,0.59,0.59,0.6
636,0.48,0.52,0.53
637,0.48,0.46,0.48
638,0.37,0.41,0.43
639,0.39,0.36,0.37
640,0.34,0.32,0.34
641,0.21,0.29,0.3
642,0.26,0.26,0.27
643,0.19,0.24,0.24
644,0.18,0.21,0.22
645,0.2,0.19,0.2
646,0.13,0.17,0.18
647,0.14,0.15,0.16
648,0.15,0.14,0.15
649,0.11,0.13,0.14
650,0.13,0.11,0.13
655,0.08,0.08,0.09
660,0.06,0.05,0.07
665,0.06,0.05,0.06
670,0.04,0.04,0.05
675,0.04,0.04,0.05
680,0.04,0.03,0.04
685,0.03,0.03,0.04
690,0.03,0.02,0.03
695,0.03,0.02,0.03
700,0.03,0.02,0.03
